Description,Z Coordinate,Name,latitude,longitude
http://users.isp.com//bigfoot/reports/RFPreport1.htm,0.0,1991-04Spr,31.572669,-87.84076
http://users.isp.com//bigfoot/reports/RFPreport1.htm,0.0,1992-04Spr,31.575447,-87.837843
http://users.isp.com//bigfoot/reports/RFPreport10.htm,0.0,2006-07-19 ~3mi,31.392574,-87.845329
http://users.isp.com//bigfoot/reports/RFPreport11.htm,0.0,2005-01Win,34.14628,-87.274839
http://users.isp.com//bigfoot/reports/RFPreport11.htm,0.0,1953-08Sum,34.145894,-87.277095
http://users.isp.com//bigfoot/reports/RFPreport12.htm,0.0,1969-07Sum,34.12155,-87.242299
http://users.isp.com//bigfoot/reports/RFPreport13.htm,0.0,1970-01Win ~4mi,34.172287,-87.248214
http://users.isp.com//bigfoot/reports/RFPreport13.htm,0.0,2004-01Win,34.110811,-87.228408
http://users.isp.com//bigfoot/reports/RFPreport14.htm,0.0,1993-10Aut,34.716454,-92.582871
http://users.isp.com//bigfoot/reports/RFPreport15.htm,0.0,2006-08-?? ~8mi,34.558654,-93.519218
http://users.isp.com//bigfoot/reports/RFPreport16.htm,0.0,2001-11-?? ~2mi,34.099234,-87.201878
http://users.isp.com//bigfoot/reports/RFPreport17.htm,0.0,1966-07Sum,35.580168,-93.7831
http://users.isp.com//bigfoot/reports/RFPreport17.htm,0.0,1971-01-??,35.352287,-93.77359
http://users.isp.com//bigfoot/reports/RFPreport17.htm,0.0,1972-06-??,35.331817,-93.881384
http://users.isp.com//bigfoot/reports/RFPreport18.htm,0.0,2006-11-05,35.565469,-93.535822
http://users.isp.com//bigfoot/reports/RFPreport2.htm,0.0,198?-??-??,31.572985,-87.84181
http://users.isp.com//bigfoot/reports/RFPreport4.htm,0.0,1944-01Win ~4mi,31.318073,-87.867311
http://users.isp.com//bigfoot/reports/RFPreport6.htm,0.0,1988-11-??,34.553665,-93.241847
http://users.isp.com//bigfoot/reports/RFPreport8.htm,0.0,2006-05-15,35.562487,-93.777729
http://users.isp.com//bigfoot/reports/RFPreport8.htm,0.0,1990-07Sum,35.561424,-93.7779
http://users.isp.com//bigfoot/reports/RFPreport9.htm,0.0,2006-05-13 ~2mi,34.814816,-92.950388
http://users.isp.com//bigfoot/reports/RFPreportDec182005.htm,0.0,2002-02Win,34.584553,-93.667207
http://users.isp.com//bigfoot/reports/RFPreportSC1.htm,0.0,1990-07Sum,34.819204,-92.886604
http://users.isp.com//bigfoot/reports/RFPreportWV3.htm,0.0,1951-07Sum,39.424248,-79.685102
http://users.isp.com//bigfoot/reports/RFPreportWV4.htm,0.0,1999-11-22,38.985844,-81.731876
http://users.isp.com//bigfoot/reports/RFPreportWV5.htm,0.0,2006-06-13,38.61836,-81.675949
http://users.isp.com//bigfoot/reports/RFPreportWV5.htm,0.0,1960-07Sum,36.115065,-92.600283
http://worldnetdaily.com/news/article.asp?ARTICLE_ID=45267,0.0,2005-07-1? ~10mi,60.132294,-132.797833
http://www.angelfire.com/oh/ohiosasquatch/010200.html,0.0,2000-01-02,39.983625,-81.572162
http://www.angelfire.com/oh/ohiosasquatch/022099.html,0.0,1999-02-20 ~8mi,40.139408,-81.803187
http://www.angelfire.com/oh/ohiosasquatch/031299.html,0.0,1999-03-12 ~3mi,40.216484,-81.59005
http://www.angelfire.com/oh/ohiosasquatch/033099.html,0.0,1999-03-30,39.560586,-81.013733
http://www.angelfire.com/oh/ohiosasquatch/042699.html,0.0,1999-04-26 ~20mi,38.823795,-83.486474
http://www.angelfire.com/oh/ohiosasquatch/051601jackco.html,0.0,2001-05-16,38.857269,-82.614987
http://www.angelfire.com/oh/ohiosasquatch/052299.html,0.0,1999-05-29 ~2mi,40.39587,-83.072675
http://www.angelfire.com/oh/ohiosasquatch/052999.html,0.0,1999-05-29 ~1mi,38.766798,-83.182194
http://www.angelfire.com/oh/ohiosasquatch/060200.html,0.0,2000-06-02 ~5mi,39.257723,-82.373177
http://www.angelfire.com/oh/ohiosasquatch/060699.html,0.0,1999-06-06 ~20mi,40.258713,-81.776316
http://www.angelfire.com/oh/ohiosasquatch/070200.html,0.0,2000-07-02 ~3mi,39.326892,-83.087639
http://www.angelfire.com/oh/ohiosasquatch/072499.html,0.0,1999-07-24 ~40mi,41.407986,-80.935093
http://www.angelfire.com/oh/ohiosasquatch/081000.html,0.0,2000-09-?? ~20mi,39.837091,-82.869561
http://www.angelfire.com/oh/ohiosasquatch/081000.html,0.0,2000-08-10,40.035639,-81.446589
http://www.angelfire.com/oh/ohiosasquatch/081899.html,0.0,1999-08-19 ~20mi,40.219574,-81.78622
http://www.angelfire.com/oh/ohiosasquatch/090099.html,0.0,1999-09-0? ~20mi,39.026785,-82.615042
http://www.angelfire.com/oh/ohiosasquatch/091699.html,0.0,1999-09-16,40.153399,-81.594523
http://www.angelfire.com/oh/ohiosasquatch/092799.html,0.0,1999-09-27 ~1mi,39.032364,-82.707097
http://www.angelfire.com/oh/ohiosasquatch/101800.html,0.0,2001-09-25 ~20mi,40.787516,-81.303988
http://www.angelfire.com/oh/ohiosasquatch/101800.html,0.0,2000-10-18 ~20mi,39.184499,-83.560495
http://www.angelfire.com/oh/ohiosasquatch/102999.html,0.0,1999-10-29,39.570007,-82.536616
http://www.angelfire.com/oh/ohiosasquatch/122899.html,0.0,1999-12-28 ~10mi,41.22448,-81.617481
http://www.angelfire.com/oh/ohiosasquatch/1980chillicothe.html,0.0,1980-06-?? ~3mi,39.313545,-83.025218
http://www.angelfire.com/oh/ohiosasquatch/1980stow.html,0.0,1980-??-??,41.15603,-81.442336
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-12-23 ~20mi,40.253005,-81.951325
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-03-13 ~20mi,40.268068,-81.810136
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-04-29 ~20mi,40.260816,-81.927915
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-11-04 ~20mi,40.241289,-81.808673
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-06-19 ~20mi,40.390205,-81.551671
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-08-10 ~20mi,40.57045,-81.408447
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-08-05 ~20mi,40.533543,-81.424235
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-04-27 ~20mi,40.273647,-81.942546
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-04-15 ~20mi,40.31373,-81.102507
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,1990-03-04 ~20mi,40.043793,-80.929347
http://www.angelfire.com/oh/ohiosasquatch/1990.html,0.0,2001-05-16 ~20mi,40.263605,-81.826962
