"Location","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bahrain","BHR","Population density (people per sq. km of land area)","EN.POP.DNST","","243.368115942029","250.879710144928","258.040579710145","264.889855072464","271.51884057971","277.944927536232","284.352173913043","291.236231884058","299.230434782609","308.84347826087","320.011594202899","332.736231884058","347.623188405797","365.41884057971","386.501449275362","411.366666666667","439.472463768116","468.85652173913","496.853623188406","521.597101449275","542.210144927536","559.347826086957","574.560869565217","590.178260869565","607.86231884058","628.247826086956","650.733333333333","674.28115942029","697.307246376812","718.759420289855","738.615942028986","736.269014084507","754.522535211268","773.478873239437","793.985915492958","816.474647887324","841.408450704225","869.770422535211","902.694366197183","941.181690140845","984.153521126761","1031.74788732394","1072.30277777778","1123.97945205479","1188.55945945946","1285.06891891892","1376.47066666667","1468.47105263158","1567.81447368421","1646.72763157895","1701.00526315789","1733.98289473684","",
"Bahamas, The","BHS","Population density (people per sq. km of land area)","EN.POP.DNST","","11.4993006993007","12.0962037962038","12.7203796203796","13.3563436563437","13.9909090909091","14.6217782217782","15.2454545454545","15.8470529470529","16.4085914085914","16.9186813186813","17.3693306693307","17.7666333666334","18.1307692307692","18.4912087912088","18.8693306693307","19.2712287712288","19.6921078921079","20.130969030969","20.5832167832168","21.044955044955","21.5188811188811","22.0053946053946","22.4959040959041","22.9784215784216","23.444955044955","23.8896103896104","24.3153846153846","24.7337662337662","25.1611388611389","25.6081918081918","26.0841158841159","26.5831168831169","27.0834165834166","27.5544455544456","27.977022977023","28.3394605394605","28.6558441558442","28.9636363636364","29.3148851148851","29.7461538461538","30.2702297702298","30.873026973027","31.5308691308691","32.2077922077922","32.8759240759241","33.5286713286713","34.1707292707293","34.7992007992008","35.4137862137862","36.0137862137862","36.5965034965035","37.1588411588412","",
"Bosnia and Herzegovina","BIH","Population density (people per sq. km of land area)","EN.POP.DNST","","65.8470980392157","66.8493921568627","67.8076274509804","68.7034901960784","69.5267058823529","70.2696078431373","70.9443333333333","71.5844509803922","72.2357647058823","72.930568627451","73.6859215686275","74.4921176470588","75.3223529411765","76.1359803921569","76.9053137254902","77.6193529411765","78.2927450980392","78.9539019607843","79.6436666666667","80.3902549019608","81.1403921568627","81.8674117647059","82.6499607843137","83.5959411764706","84.744431372549","86.2599411764706","88.0304901960784","89.4953921568627","89.8967450980392","88.7551176470588","85.7591176470588","81.2366274509804","76.1283921568627","71.7531176470588","69.039137254902","68.3446078431373","69.3332941176471","71.3886470588235","73.5687058823529","75.1836078431373","76.0657450980392","76.4231176470588","76.3878235294118","76.2102549019608","76.0750588235294","75.9834705882353","75.8561764705882","75.7098235294118","75.5577647058823","75.4103725490196","75.2808235294118","75.1748235294118","",
"Belarus","BLR","Population density (people per sq. km of land area)","EN.POP.DNST","","40.7770459475449","41.1749556300532","41.5955038453954","42.0243738907513","42.4472490633011","42.8736738315914","43.3131926641688","43.7514888582134","44.1742457109051","44.5671465194242","44.9397357523171","45.3015578781305","45.6382961940446","45.9356339972392","46.1792545848945","46.3961743245908","46.6525340169592","46.9581936501676","47.249063301124","47.5399329520805","47.8702425557089","48.1956221652534","48.5259317688819","48.8562413725104","49.1766909879708","49.5119305856833","49.8471701833958","49.990140011832","50.1380398343522","50.2317097219483","50.2563596923684","50.3648195622165","50.4782094261487","50.4190494971406","50.2563596923684","50.0887398935121","49.8767501478998","49.6401104318675","49.4724906330112","49.324590810491","48.9449812660225","48.6367894295716","48.3015333037519","47.9759380701149","47.6408815264014","47.333661902415","47.1168063085264","46.9590931493346","46.8740755349571","46.7718087727945","46.6857227342171","46.641368094229","",
"Belize","BLZ","Population density (people per sq. km of land area)","EN.POP.DNST","","4.15173169662429","4.26957474791758","4.39131959666813","4.51863217886892","4.65238930293731","4.793686979395","4.94077159140728","5.08816308636563","5.22840859272249","5.3563787812363","5.47093380096449","5.57422183252959","5.66830337571241","5.7565103024989","5.84221832529592","5.92481367821131","6.00574309513371","6.0925909688733","6.19500219202104","6.31964050854888","6.46935554581324","6.64173608066637","6.83121437965804","7.02946076282332","7.22998684787374","7.43301183691363","7.63919333625603","7.84331433581762","8.03893029373082","8.2223586146427","8.38965366067514","8.54423498465585","8.69881630863656","8.87102148180623","9.07330118369136","9.31060938185007","9.57843051293292","9.86773345024112","10.1648399824638","10.4597106532223","10.7495835160018","11.037527400263","11.3259973695747","11.6194651468654","11.9210872424375","12.2308198158702","12.5469530907497","12.869092503288","13.196668128014","13.5289346777729","13.8658483121438","14.2069267864972","",
"Bermuda","BMU","Population density (people per sq. km of land area)","EN.POP.DNST","","910","932","954","978","1002","1020","1040","1060","1080","1100","1092","1084","1076","1068","1060","1064","1068","1072","1076","1093.4","1101","1108.98","1118.6","1128.46","1137.96","1147.64","1156.98","1166.94","1176.82","1186.52","1180.42","1171.9","1178.2","1186.4","1194.92","1202.58","1209.94","1218.86","1225.7","1236.66","1250.08","1258.24","1266.5","1274.8","1283.08","1290.46","1297.76","1305.46","1312.72","1302.48","1291.28","1296.12","",
"Bolivia","BOL","Population density (people per sq. km of land area)","EN.POP.DNST","","3.16465429705529","3.23587833471799","3.30913135788794","3.38464321979138","3.46261146496815","3.54302224683836","3.62592172066833","3.71163574263824","3.80056586356503","3.89296409120281","3.98903720114465","4.08861257269454","4.19108003323179","4.29558663343488","4.40152958552571","4.50870857564848","4.61734607218684","4.72778362411151","4.84055294009046","4.9560611095726","5.07441336656512","5.19555709406443","5.31955414012739","5.44643865965107","5.57625496169113","5.70888950429244","5.84438198098403","5.98307301763131","6.12541124342287","6.27162004984769","6.42180005538632","6.57555063232715","6.73197175297701","6.88984861072648","7.04824333056402","7.2066398966122","7.36501523123788","7.52350595402936","7.68245915258931","7.84202990861257","8.00246099879996","8.16334348749192","8.32344410597249","8.48113172713007","8.63538170405243","8.78555801716976","8.93238807347918","9.07790824333056","9.22496630665559","9.37561248038401","9.53055017077449","9.68917659004893","",
"Brazil","BRA","Population density (people per sq. km of land area)","EN.POP.DNST","","8.86444188845098","9.13616169902901","9.41471365649182","9.69534743516695","9.97460452371439","10.2515154703278","10.5270049246875","10.8018623026165","11.0775814417537","11.3554311052058","11.6352981646496","11.9172085083847","12.2028036201063","12.4941702859061","12.7927986788692","13.0988060647184","13.4117123869012","13.7315534634762","14.0581901596091","14.3911093195515","14.7304176882103","15.0749602218592","15.4213479174695","15.7651797640973","16.1031185353133","16.4341519867792","16.7585515319017","17.0759487057032","17.3863762527455","17.6901419955505","17.9862849935338","18.2752464116925","18.5605078125924","18.846789614418","19.1373422764208","19.4330607772164","19.7324943081204","20.0335657763771","20.3331152726783","20.6284707462214","20.9196617498599","21.2063909818876","21.4852733402526","21.7521157478882","22.0041566679512","22.2396234020772","22.4598111927295","22.6688788356649","22.8728354899036","23.0760683356542","23.2799806606127","23.4834089098307","",
"Barbados","BRB","Population density (people per sq. km of land area)","EN.POP.DNST","","538.602325581395","540.73023255814","543.06976744186","545.297674418605","547.195348837209","548.688372093023","549.920930232558","551.155813953488","552.744186046512","554.920930232558","557.823255813953","561.318604651163","565.048837209302","568.495348837209","571.309302325581","573.339534883721","574.73488372093","575.795348837209","576.96511627907","578.567441860465","580.688372093023","583.209302325581","585.997674418605","588.820930232558","591.520930232558","594.06976744186","596.511627906977","598.83023255814","601.03023255814","603.106976744186","605.058139534884","606.890697674419","608.637209302326","610.327906976744","612.011627906977","613.683720930233","615.362790697674","617.139534883721","619.116279069767","621.372093023256","623.944186046512","626.8","629.869767441861","633.03488372093","636.204651162791","639.355813953488","642.504651162791","645.660465116279","648.851162790698","652.083720930233","655.358139534884","658.653488372093","",
"Brunei Darussalam","BRN","Population density (people per sq. km of land area)","EN.POP.DNST","","16.2578747628083","17.0009487666034","17.7686907020873","18.5814041745731","19.4527514231499","20.3870967741935","21.3795066413662","22.4223908918406","23.5037950664137","24.6146110056926","25.7508538899431","26.9121442125237","28.0944971537002","29.2954459203036","30.5106261859583","31.7409867172676","32.9825426944972","34.2220113851992","35.4417457305503","36.6316888045541","37.7851992409867","38.9094876660342","40.0237191650854","41.1546489563567","42.322770398482","43.5318785578748","44.7783681214421","46.0641366223909","47.3895635673624","48.7531309297913","50.1578747628083","51.6005692599621","53.0648956356736","54.5294117647059","55.9777988614801","57.4024667931689","58.8053130929791","60.1924098671727","61.5751423149905","62.9603415559772","64.3480075901328","65.7318785578748","67.1060721062619","68.4624288425048","69.7941176470588","71.1","72.3795066413662","73.627514231499","74.8387096774194","76.0092979127135","77.1370018975332","78.2235294117647","",
"Bhutan","BTN","Population density (people per sq. km of land area)","EN.POP.DNST","","4.87974468085106","4.99485106382979","5.11540425531915","5.24229787234043","5.37655319148936","5.51795744680851","5.66751063829787","5.8288085106383","6.00642553191489","6.20329787234043","6.4203829787234","6.6558085106383","6.90602127659574","7.166","7.43148936170213","7.70225531914894","7.97772340425532","8.25304255319149","8.52236170212766","8.7818085106383","9.02302127659575","9.24663829787234","9.46825531914894","9.70982978723404","9.98391489361702","10.306170212766","10.6636595744681","11.0065106382979","11.2663617021277","11.3986808510638","11.3809574468085","11.2405106382979","11.0437446808511","12.7651271302742","12.7031713950645","12.7902288095416","13.0036180352821","13.3177882576041","13.6886243980338","14.0816428375377","14.4942984754348","14.9326296878509","15.379968560521","16.5102099286347","16.9405896754701","17.3352086263479","17.6945616502579","18.0277908006459","18.3503151534094","18.6732041464812","18.9985153930302","19.3213002031567","",
"Botswana","BWA","Population density (people per sq. km of land area)","EN.POP.DNST","","0.947061210805851","0.970747975226298","0.99603691352143","1.02293684823461","1.05147777601327","1.0818149736206","1.11410724683712","1.14840400190567","1.18471935489563","1.22311506361054","1.26347996400402","1.30594462971786","1.3510578229492","1.39954475676248","1.45184832283451","1.50820672983608","1.5682529599633","1.63106417518042","1.69535228415648","1.76015739417359","1.82507366823708","1.89023697351472","1.95588904769467","2.02248866303178","2.09033755050906","2.15929631394138","2.22904910627636","2.29949358601098","2.37051153106418","2.44192472606003","2.51356554267464","2.58513224992501","2.65612019833078","2.7259276904346","2.79401655109135","2.86024914862457","2.92440668395885","2.98580982125527","3.0436433575071","3.09737441109523","3.14673477670143","3.19195384045313","3.23364212235103","3.27270305083549","3.30987419053165","3.34540963068834","3.37936407107441","3.41206394579429","3.44381804386569","3.47491927372823","3.50555114428387","3.53591657402996","",
